"Año.Censal","Municipio","Clave.INEGI","Act.Econ","VA","HT","AF"
2014,"Acambay","15001","11 Agricultura cría y explotación de animales aprovechamiento forestal pesca y caza (sólo pesca acuicultura y servicios relacionados con las actividades agropecuarias y forestales)",129000,0,5909000
2014,"Acambay","15001","31 - 33 industrias manufactureras",22928000,1661286,56257000
2014,"Acambay","15001","43 Comercio al por mayor",2478000,76184,2306000
2014,"Acambay","15001","46 Comercio al por menor",41825000,2204528,53065000
2014,"Acambay","15001","53 Servicios inmobiliarios y de alquiler de bienes muebles e intangibles",580000,50932,1670000
2014,"Acambay","15001","54 Servicios profesionales científicos y técnicos",799000,43408,1006000
2014,"Acambay","15001","56 Servicios de apoyo a los negocios y manejo de desechos y servicios de remediación",1252000,120412,1317000
2014,"Acambay","15001","61 Servicios educativos",14899000,217832,2129000
2014,"Acambay","15001","62 Servicios de salud y de asistencia social",6669000,203398,46675000
2014,"Acambay","15001","71 Servicios de esparcimiento culturales y deportivos y otros servicios recreativos",118000,11416,570000
2014,"Acambay","15001","72 Servicios de alojamiento temporal y de preparación de alimentos y bebidas",5420000,407138,5241000
2014,"Acambay","15001","81 Otros servicios excepto actividades gubernamentales",3605000,317736,4342000
2014,"Acolman","15002","21 Minería",1179000,44000,2713000
2014,"Acolman","15002","22 Generación transmisión y distribución de energía eléctrica suministro de agua y de gas por ductos al consumidor final",1101000,18000,8968000
2014,"Acolman","15002","23 Construcción",934000,34384,3682000
2014,"Acolman","15002","31 - 33 industrias manufactureras",1178746000,6879420,800789000
2014,"Acolman","15002","43 Comercio al por mayor",66323000,941440,29198000
2014,"Acolman","15002","46 Comercio al por menor",309661000,11286662,213462000
2014,"Acolman","15002","48 - 49 transportes correos y almacenamiento",174660000,502000,381187000
2014,"Acolman","15002","51 Información en medios masivos",30238000,82608,14080000
2014,"Acolman","15002","52 Servicios financieros y de seguros",1976000,35376,47000
2014,"Acolman","15002","53 Servicios inmobiliarios y de alquiler de bienes muebles e intangibles",6157000,162824,23921000
2014,"Acolman","15002","54 Servicios profesionales científicos y técnicos",5024000,170356,3130000
2014,"Acolman","15002","56 Servicios de apoyo a los negocios y manejo de desechos y servicios de remediación",13221000,626394,11830000
2014,"Acolman","15002","61 Servicios educativos",17096000,568582,20538000
2014,"Acolman","15002","62 Servicios de salud y de asistencia social",12922000,692472,26952000
2014,"Acolman","15002","71 Servicios de esparcimiento culturales y deportivos y otros servicios recreativos",8393000,148508,8324000
2014,"Acolman","15002","72 Servicios de alojamiento temporal y de preparación de alimentos y bebidas",40584000,1697010,15982000
2014,"Acolman","15002","81 Otros servicios excepto actividades gubernamentales",50197000,2621182,47339000
