Año Censal,Entidad,Municipio,Actividad Económica,A131A Valor agregado censal bruto (millones de pesos),H001D Horas trabajadas por Personal ocupado total (miles de Horas),Q000A Acervo total de activos fijos (millones de pesos)
2014,15 México,001 Acambay,11 Agricultura cría y explotación de animales aprovechamiento forestal pesca y caza (sólo pesca acuicultura y servicios relacionados con las actividades agropecuarias y forestales),0.129,0,5.909
2014,15 México,001 Acambay,31 - 33 industrias manufactureras,22.928,1661.286,56.257
2014,15 México,001 Acambay,43 Comercio al por mayor,2.478,76.184,2.306
2014,15 México,001 Acambay,46 Comercio al por menor,41.825,2204.528,53.065
2014,15 México,001 Acambay,53 Servicios inmobiliarios y de alquiler de bienes muebles e intangibles,0.58,50.932,1.67
2014,15 México,001 Acambay,54 Servicios profesionales científicos y técnicos,0.799,43.408,1.006
2014,15 México,001 Acambay,56 Servicios de apoyo a los negocios y manejo de desechos y servicios de remediación,1.252,120.412,1.317
2014,15 México,001 Acambay,61 Servicios educativos,14.899,217.832,2.129
2014,15 México,001 Acambay,62 Servicios de salud y de asistencia social,6.669,203.398,46.675
2014,15 México,001 Acambay,71 Servicios de esparcimiento culturales y deportivos y otros servicios recreativos,0.118,11.416,0.57
2014,15 México,001 Acambay,72 Servicios de alojamiento temporal y de preparación de alimentos y bebidas,5.42,407.138,5.241
2014,15 México,001 Acambay,81 Otros servicios excepto actividades gubernamentales,3.605,317.736,4.342
2014,15 México,002 Acolman,21 Minería,1.179,44,2.713
2014,15 México,002 Acolman,22 Generación transmisión y distribución de energía eléctrica suministro de agua y de gas por ductos al consumidor final,1.101,18,8.968
2014,15 México,002 Acolman,23 Construcción,0.934,34.384,3.682
2014,15 México,002 Acolman,31 - 33 industrias manufactureras,1178.746,6879.42,800.789
2014,15 México,002 Acolman,43 Comercio al por mayor,66.323,941.44,29.198
2014,15 México,002 Acolman,46 Comercio al por menor,309.661,11286.662,213.462
2014,15 México,002 Acolman,48 - 49 transportes correos y almacenamiento,174.66,502,381.187
2014,15 México,002 Acolman,51 Información en medios masivos,30.238,82.608,14.08
2014,15 México,002 Acolman,52 Servicios financieros y de seguros,1.976,35.376,0.047
2014,15 México,002 Acolman,53 Servicios inmobiliarios y de alquiler de bienes muebles e intangibles,6.157,162.824,23.921
2014,15 México,002 Acolman,54 Servicios profesionales científicos y técnicos,5.024,170.356,3.13
2014,15 México,002 Acolman,56 Servicios de apoyo a los negocios y manejo de desechos y servicios de remediación,13.221,626.394,11.83
2014,15 México,002 Acolman,61 Servicios educativos,17.096,568.582,20.538
2014,15 México,002 Acolman,62 Servicios de salud y de asistencia social,12.922,692.472,26.952
2014,15 México,002 Acolman,71 Servicios de esparcimiento culturales y deportivos y otros servicios recreativos,8.393,148.508,8.324
2014,15 México,002 Acolman,72 Servicios de alojamiento temporal y de preparación de alimentos y bebidas,40.584,1697.01,15.982
2014,15 México,002 Acolman,81 Otros servicios excepto actividades gubernamentales,50.197,2621.182,47.339
2014,15 México,003 Aculco,11 Agricultura cría y explotación de animales aprovechamiento forestal pesca y caza (sólo pesca acuicultura y servicios relacionados con las actividades agropecuarias y forestales),0.025,0,0.209
2014,15 México,003 Aculco,21 Minería,6.956,531,6.031
2014,15 México,003 Aculco,31 - 33 industrias manufactureras,108.767,1556.256,45.298
2014,15 México,003 Aculco,43 Comercio al por mayor,87.093,347.72,8.497
2014,15 México,003 Aculco,46 Comercio al por menor,36.348,1512.148,19.819
2014,15 México,003 Aculco,52 Servicios financieros y de seguros,2.169,34.992,0.274
2014,15 México,003 Aculco,53 Servicios inmobiliarios y de alquiler de bienes muebles e intangibles,0.205,9.672,0.106
2014,15 México,003 Aculco,54 Servicios profesionales científicos y técnicos,0.288,26.832,0.881
2014,15 México,003 Aculco,56 Servicios de apoyo a los negocios y manejo de desechos y servicios de remediación,0.489,34.104,0.552
2014,15 México,003 Aculco,62 Servicios de salud y de asistencia social,2.36,143.636,3.466
2014,15 México,003 Aculco,72 Servicios de alojamiento temporal y de preparación de alimentos y bebidas,6.26,405.794,33.656
2014,15 México,003 Aculco,81 Otros servicios excepto actividades gubernamentales,1.565,158.748,2.092
2014,15 México,004 Almoloya de Alquisiras,31 - 33 industrias manufactureras,3.811,203.432,3.46
2014,15 México,004 Almoloya de Alquisiras,43 Comercio al por mayor,0.561,31.52,0.183
2014,15 México,004 Almoloya de Alquisiras,46 Comercio al por menor,4.463,748.568,19.175
2014,15 México,004 Almoloya de Alquisiras,52 Servicios financieros y de seguros,0.257,14.208,0.18
2014,15 México,004 Almoloya de Alquisiras,53 Servicios inmobiliarios y de alquiler de bienes muebles e intangibles,0.303,12.86,1.705
2014,15 México,004 Almoloya de Alquisiras,54 Servicios profesionales científicos y técnicos,0.045,11.316,0.377
2014,15 México,004 Almoloya de Alquisiras,56 Servicios de apoyo a los negocios y manejo de desechos y servicios de remediación,0.149,21,0.491
2014,15 México,004 Almoloya de Alquisiras,62 Servicios de salud y de asistencia social,0.964,22.152,1.43
2014,15 México,004 Almoloya de Alquisiras,71 Servicios de esparcimiento culturales y deportivos y otros servicios recreativos,0.123,9.748,16.117
2014,15 México,004 Almoloya de Alquisiras,72 Servicios de alojamiento temporal y de preparación de alimentos y bebidas,1.913,177.19,3.076
2014,15 México,004 Almoloya de Alquisiras,81 Otros servicios excepto actividades gubernamentales,0.646,125.836,0.876
2014,15 México,005 Almoloya de Juárez,31 - 33 industrias manufactureras,337.945,2619.092,1379.188
2014,15 México,005 Almoloya de Juárez,43 Comercio al por mayor,8.483,409.554,3.588
2014,15 México,005 Almoloya de Juárez,46 Comercio al por menor,239.237,5239.308,357.77
2014,15 México,005 Almoloya de Juárez,48 - 49 transportes correos y almacenamiento,15.067,212,59.973
2014,15 México,005 Almoloya de Juárez,51 Información en medios masivos,0.082,7.284,0.126
2014,15 México,005 Almoloya de Juárez,52 Servicios financieros y de seguros,2.698,36.096,0.41
2014,15 México,005 Almoloya de Juárez,53 Servicios inmobiliarios y de alquiler de bienes muebles e intangibles,0.867,65.352,4.41
2014,15 México,005 Almoloya de Juárez,54 Servicios profesionales científicos y técnicos,1.467,71.08,0.996
2014,15 México,005 Almoloya de Juárez,56 Servicios de apoyo a los negocios y manejo de desechos y servicios de remediación,3.465,259.466,5.088
2014,15 México,005 Almoloya de Juárez,61 Servicios educativos,1.166,38.34,5.647
2014,15 México,005 Almoloya de Juárez,62 Servicios de salud y de asistencia social,3.949,221.91,12.298
2014,15 México,005 Almoloya de Juárez,71 Servicios de esparcimiento culturales y deportivos y otros servicios recreativos,1.55,71.194,3.337
